"ID","Latitude","Longitude","Altitude","MagX","MagY","MagZ","NetField","TimeStamp"
"1790","67.5833332","25.096124","0.0","-41.977","-8.470","-45.875","62.756","03/12/2023 19:25:06"
"1791","67.5833332","25.096124","0.0","-45.950","-7.421","-44.825","64.620","03/12/2023 19:25:06"
"1792","67.5833332","25.096124","0.0","-46.175","-10.419","-46.325","66.232","03/12/2023 19:25:06"
"1793","67.5833332","25.096124","0.0","-43.026","-15.442","-44.975","64.129","03/12/2023 19:25:07"
"1794","67.5833332","25.096124","0.0","-47.149","-9.895","-45.275","66.112","03/12/2023 19:25:07"
"1795","67.5833332","25.096124","0.0","-49.173","-1.874","-46.025","67.378","03/12/2023 19:25:07"
"1796","67.5833332","25.096124","0.0","-46.624","-11.993","-42.502","64.219","03/12/2023 19:25:07"
"1797","67.5833332","25.096124","0.0","-45.500","-6.521","-42.876","62.858","03/12/2023 19:25:07"
"1798","67.5833332","25.096124","0.0","-45.500","-6.596","-42.277","62.459","03/12/2023 19:25:08"
"1799","67.5833332","25.096124","0.0","-45.650","-6.446","-44.001","63.730","03/12/2023 19:25:08"
"1800","67.5833332","25.096124","0.0","-47.974","-6.821","-42.652","64.553","03/12/2023 19:25:08"
"1801","67.5833332","25.096124","0.0","-44.750","-10.194","-45.725","64.786","03/12/2023 19:25:08"
"1802","67.5833332","25.096124","0.0","-44.526","-10.419","-43.626","63.201","03/12/2023 19:25:08"
"1803","67.5833332","25.096124","0.0","-42.951","-12.968","-42.352","61.698","03/12/2023 19:25:09"
"1804","67.5833332","25.096124","0.0","-37.854","-16.866","-49.098","64.250","03/12/2023 19:25:09"
"1805","67.5833332","25.096124","0.0","-41.077","-11.619","-45.350","62.281","03/12/2023 19:25:09"
"1806","67.5833332","25.096124","0.0","-46.399","-8.920","-41.302","62.756","03/12/2023 19:25:09"
"1807","67.5833332","25.096124","0.0","-43.176","-12.368","-43.101","62.249","03/12/2023 19:25:09"
"1808","67.5833332","25.096124","0.0","-45.725","-9.895","-42.352","63.106","03/12/2023 19:25:10"
"1809","67.5833332","25.096124","0.0","-38.079","-14.842","-47.899","62.965","03/12/2023 19:25:10"
"1810","67.5833332","25.096124","0.0","-35.905","-14.842","-49.023","62.552","03/12/2023 19:25:10"
"1811","67.5833332","25.096124","0.0","-41.752","-13.717","-47.974","65.061","03/12/2023 19:25:10"
"1812","67.5833332","25.096124","0.0","-44.526","-11.244","-45.425","64.594","03/12/2023 19:25:10"
"1813","67.5833332","25.096124","0.0","-45.950","-9.220","-44.750","64.800","03/12/2023 19:25:11"
"1814","67.5833332","25.096124","0.0","-46.025","-8.845","-43.626","64.029","03/12/2023 19:25:11"
"1815","67.5833332","25.096124","0.0","-47.299","-8.395","-43.926","65.093","03/12/2023 19:25:11"
"1816","67.5833332","25.096124","0.0","-46.999","-10.644","-43.401","64.853","03/12/2023 19:25:11"
"1817","67.5833332","25.096124","0.0","-46.774","-9.970","-43.551","64.683","03/12/2023 19:25:11"
"1818","67.5833332","25.096124","0.0","-51.122","-8.021","-44.301","68.120","03/12/2023 19:25:12"
"1819","67.5833332","25.096124","0.0","-53.446","-11.394","-45.350","71.013","03/12/2023 19:25:12"
"1820","67.5833332","25.096124","0.0","-48.124","-13.493","-42.202","65.413","03/12/2023 19:25:12"
"1821","67.5833332","25.096124","0.0","-47.974","-13.193","-39.953","63.810","03/12/2023 19:25:12"
"1822","67.5833332","25.096124","0.0","-44.301","-10.194","-39.878","60.471","03/12/2023 19:25:12"
"1823","67.5833332","25.096124","0.0","-46.325","-5.322","-37.629","59.919","03/12/2023 19:25:13"
"1824","67.5833332","25.096124","0.0","-50.297","-3.448","-41.227","65.126","03/12/2023 19:25:13"
"1825","67.5833332","25.096124","0.0","-48.049","-6.222","-39.353","62.418","03/12/2023 19:25:13"
"1826","67.5833332","25.096124","0.0","-47.074","-4.123","-42.876","63.807","03/12/2023 19:25:13"
"1827","67.5833332","25.096124","0.0","-45.275","-6.521","-42.876","62.696","03/12/2023 19:25:13"
"1828","67.5833332","25.096124","0.0","-46.474","-5.397","-43.176","63.665","03/12/2023 19:25:14"
"1829","67.5833332","25.096124","0.0","-45.875","-5.097","-44.376","64.029","03/12/2023 19:25:14"
"1830","67.5833332","25.096124","0.0","-46.250","-4.647","-45.575","65.098","03/12/2023 19:25:14"
"1831","67.5833332","25.096124","0.0","-44.526","-4.423","-43.101","62.127","03/12/2023 19:25:14"
"1832","67.5833332","25.096124","0.0","-44.825","-4.273","-43.851","62.853","03/12/2023 19:25:14"
"1833","67.5833332","25.096124","0.0","-49.173","-2.773","-41.227","64.229","03/12/2023 19:25:15"
"1834","67.5833332","25.096124","0.0","-46.999","-3.223","-42.127","63.198","03/12/2023 19:25:15"
"1835","67.5833332","25.096124","0.0","-47.599","-6.072","-42.277","63.952","03/12/2023 19:25:15"
"1836","67.5833332","25.096124","0.0","-41.902","-12.218","-45.800","63.267","03/12/2023 19:25:15"
"1837","67.5833332","25.096124","0.0","-36.580","-14.767","-46.474","60.959","03/12/2023 19:25:15"
